feature_id,count_total,count_happy,count_sad,count_diff,mean_total,mean_happy,mean_sad,mean_diff
17051,436,387,49,338,1.535225,1.64996,0.629054,1.020906
4637,751,516,235,281,2.332865,2.683428,1.563118,1.120311
19533,821,291,530,-239,2.38795,1.596536,2.822481,-1.225945
3270,836,301,535,-234,1.778451,1.465995,1.954245,-0.48825
5602,632,430,202,228,2.267348,2.618779,1.51925,1.09953
24108,348,68,280,-212,1.505385,1.172054,1.586336,-0.414282
14149,342,273,69,204,2.000519,2.213682,1.157138,1.056544
2943,683,441,242,199,2.316304,2.665558,1.679855,0.985703
14101,492,343,149,194,2.021626,2.14668,1.733752,0.412928
12497,410,298,112,186,1.520638,1.658948,1.152632,0.506316
22887,241,211,30,181,1.059535,1.132204,0.54843,0.583774
14046,568,372,196,176,1.759865,2.111574,1.092337,1.019237
18237,552,363,189,174,1.698398,1.874454,1.360259,0.514196
8921,293,233,60,173,1.457966,1.571915,1.015465,0.55645
8735,596,212,384,-172,2.034101,1.649424,2.246475,-0.597051
16752,599,384,215,169,1.805683,1.881843,1.669658,0.212186
15520,1187,513,674,-161,2.684536,2.155506,3.087196,-0.93169
8597,201,179,22,157,1.16145,1.200154,0.846542,0.353612
12308,379,112,267,-155,1.175987,1.000181,1.249733,-0.249552
2163,737,292,445,-153,1.789468,1.36901,2.065364,-0.696353
11564,269,58,211,-153,1.437401,1.42252,1.441491,-0.018971
8665,808,328,480,-152,3.536119,3.056379,3.863941,-0.807562
5120,419,285,134,151,1.147096,1.179667,1.077822,0.101844
23730,539,345,194,151,1.453974,1.542764,1.296074,0.246689
12537,654,252,402,-150,2.336033,1.831474,2.652323,-0.820849
2930,334,238,96,142,1.205132,1.327993,0.900537,0.427456
13838,238,189,49,140,1.452043,1.61371,0.828469,0.785241
11058,291,77,214,-137,1.984761,1.245704,2.250684,-1.00498
4447,558,211,347,-136,1.664908,1.329852,1.868645,-0.538793
8283,253,59,194,-135,1.342964,1.094796,1.418437,-0.323641
11652,386,126,260,-134,2.734625,2.325473,2.932905,-0.607433
2049,439,153,286,-133,2.126334,1.299332,2.56875,-1.269418
17513,225,179,46,133,1.13568,1.255178,0.670677,0.584501
12874,532,200,332,-132,3.610178,3.022703,3.964078,-0.941375
14842,500,184,316,-132,2.740371,2.587762,2.829232,-0.241469
64,317,224,93,131,1.251075,1.436371,0.80477,0.631602
14186,379,124,255,-131,1.407162,1.174253,1.52042,-0.346167
14118,506,188,318,-130,2.741602,2.351888,2.971999,-0.620111
4689,233,52,181,-129,3.362926,2.180658,3.702583,-1.521925
18499,476,174,302,-128,2.880274,2.45372,3.126036,-0.672316
12757,187,30,157,-127,2.076761,0.760589,2.328259,-1.56767
21461,469,171,298,-127,2.529164,2.512684,2.53862,-0.025936
16672,212,43,169,-126,1.218783,0.797883,1.325876,-0.527993
9841,391,133,258,-125,1.957311,1.502461,2.191788,-0.689327
16087,483,179,304,-125,1.557806,1.399186,1.651204,-0.252018
13906,390,133,257,-124,1.817754,1.216612,2.128851,-0.912239
2619,230,54,176,-122,1.544653,1.202326,1.649685,-0.447358
21774,698,288,410,-122,1.644052,1.490136,1.752169,-0.262033
17486,412,266,146,120,1.691959,1.942922,1.234725,0.708196
5964,255,187,68,119,2.306183,2.570652,1.578891,0.991761
21872,157,19,138,-119,1.022913,0.398778,1.108845,-0.710067
24140,131,125,6,119,1.482085,1.523839,0.61221,0.911629
1258,146,14,132,-118,1.244899,0.936578,1.2776,-0.341023
15157,314,98,216,-118,1.606488,1.469481,1.668648,-0.199166
952,308,96,212,-116,1.133662,0.80274,1.283514,-0.480773
14535,361,123,238,-115,1.081028,0.929437,1.159372,-0.229935
9258,307,97,210,-113,2.160631,1.869173,2.295257,-0.426085
16770,224,56,168,-112,1.762523,1.385704,1.888129,-0.502425
23013,650,381,269,112,2.658128,2.733686,2.551112,0.182574
12720,225,168,57,111,1.383918,1.491434,1.067031,0.424403
6885,266,78,188,-110,2.315859,2.059265,2.422318,-0.363053
13096,184,147,37,110,1.382437,1.552413,0.707126,0.845286
856,359,125,234,-109,1.351101,1.091119,1.48998,-0.39886
