feature_id,total_times_active,average_activated_value,std_activated_value,total_times_active_hot,average_activated_value_hot,std_activated_value_hot,total_times_active_cold,average_activated_value_cold,std_activated_value_cold,delta_total_times_active,delta_average_activated_value
4637,1128,1.971199,1.690148,805,2.301831,1.787102,323,1.147179,1.031949,482,1.154651
6694,418,13.375113,14.884329,48,1.501772,1.262723,370,14.915438,15.146476,-322,-13.413666
8363,753,4.407103,3.632108,527,5.466449,3.749315,226,1.936858,1.567107,301,3.529591
18838,724,2.287543,1.734833,213,1.794768,1.304197,511,2.492946,1.847093,-298,-0.698179
12147,447,1.470966,1.103669,75,0.749792,0.608578,372,1.616365,1.123832,-297,-0.866573
21601,439,5.391065,3.29727,367,6.212858,2.950791,72,1.202208,0.957942,295,5.01065
21426,1240,4.481528,3.628519,477,3.690583,3.205539,763,4.975998,3.786515,-286,-1.285416
4354,322,2.325616,1.871402,300,2.371917,1.874564,22,1.694233,1.706678,278,0.677684
16258,548,3.92587,3.261443,413,4.14998,3.004302,135,3.240257,3.865529,278,0.909724
15986,287,8.807891,6.590953,280,8.920649,6.596384,7,4.297556,4.441154,273,4.623094
1566,1177,1.609902,1.33948,723,1.772892,1.458481,454,1.350338,1.074374,269,0.422554
14444,269,2.98735,1.833632,268,2.996306,1.831168,1,0.587182,0.0,267,2.409124
9553,363,4.289711,2.859415,312,4.015597,2.787567,51,5.966647,2.717826,261,-1.95105
1964,871,1.828004,1.665031,563,1.946846,1.82869,308,1.61077,1.28614,255,0.336076
1578,408,2.350689,1.781538,331,2.638405,1.815031,77,1.113882,0.877784,254,1.524523
10731,1632,1.459192,1.011341,941,1.536215,0.986948,691,1.354304,1.034462,250,0.181911
911,317,9.188865,12.788941,34,1.700805,1.413487,283,10.088491,13.244666,-249,-8.387686
21573,667,2.472998,2.334252,456,2.804164,2.425708,211,1.757303,1.938736,245,1.046861
22939,422,4.579357,3.471708,328,5.007144,3.562311,94,3.086654,2.638605,234,1.920489
1153,494,0.921759,0.701035,364,0.955064,0.708568,130,0.828507,0.670759,234,0.126556
12423,4287,1.390427,0.863426,2027,1.283575,0.807988,2260,1.486262,0.899547,-233,-0.202687
4415,322,3.159005,1.956935,274,2.913436,1.839875,48,4.560792,2.014312,226,-1.647356
20528,562,1.463624,1.103515,170,1.32463,1.140238,392,1.523901,1.081665,-222,-0.199271
676,629,0.81247,0.726784,204,0.470754,0.363947,425,0.976494,0.797011,-221,-0.505739
7236,436,2.333868,1.777919,108,3.031699,2.232566,328,2.104095,1.532149,-220,0.927604
16783,248,3.464475,2.082855,232,3.625816,2.047543,16,1.125024,0.776335,216,2.500792
2619,1967,1.334454,1.035793,876,1.192196,0.998255,1091,1.448678,1.051133,-215,-0.256482
20440,1195,1.796956,1.322654,703,1.819698,1.364627,492,1.764461,1.259546,211,0.055236
21917,232,1.874588,1.577118,220,1.895346,1.557174,12,1.494023,1.86563,208,0.401323
12454,286,5.528653,4.091002,247,5.907554,3.635233,39,3.128949,5.689511,208,2.778606
