feature_id,total_times_active,average_activated_value,std_activated_value,total_times_active_hot,average_activated_value_hot,std_activated_value_hot,total_times_active_cold,average_activated_value_cold,std_activated_value_cold,delta_total_times_active,delta_average_activated_value
214,1834,103.719168,63.478434,718,100.761256,69.092755,1116,105.622198,59.50969,-398,-4.860943
907,604,33.245554,11.804214,117,28.175672,11.300757,487,34.463575,11.596348,-370,-6.287904
164,1948,78.605329,60.490025,1143,71.090142,55.607167,805,89.27596,65.344447,338,-18.185818
225,742,40.503706,38.201271,540,40.563604,34.292815,202,40.34358,47.082324,338,0.220024
61,796,44.70796,24.572295,233,39.978118,28.253176,563,46.665425,22.588402,-330,-6.687307
1354,823,41.500667,18.713299,252,33.646533,13.241126,571,44.96694,19.70074,-319,-11.320407
1076,457,41.87995,19.992512,70,32.194971,11.082885,387,43.631755,20.730301,-317,-11.436783
920,475,32.641386,10.651886,86,30.654217,10.582897,389,33.080708,10.616992,-303,-2.426492
218,1442,47.279943,21.791385,573,45.694786,19.554383,869,48.325161,23.088989,-296,-2.630375
618,1294,75.448781,42.044564,503,72.618008,40.076975,791,77.248881,43.152748,-288,-4.630873
47,889,37.729423,20.180266,305,30.461067,15.617554,584,41.525397,21.226086,-279,-11.064329
793,408,42.998311,17.182176,339,43.555007,17.15114,69,40.263242,17.072175,270,3.291764
208,1395,42.874072,23.145775,829,43.283846,22.641023,566,42.27389,23.853105,263,1.009957
1674,1248,40.613616,13.771267,493,36.268908,10.555123,755,43.450624,14.844545,-262,-7.181716
674,805,39.905026,18.669668,515,42.78319,18.481509,290,34.793804,17.892313,225,7.989386
143,1392,67.791235,37.997093,585,66.412518,34.016185,807,68.790677,40.610556,-222,-2.378158
21,1733,66.719627,37.799449,756,63.348867,36.773083,977,69.327913,38.372239,-221,-5.979047
163,587,39.386864,20.879119,183,30.186511,12.806726,404,43.55435,22.43661,-221,-13.367838
2636,1681,29.580487,10.915764,950,29.464051,10.492445,731,29.731806,11.440756,219,-0.267755
713,441,60.760229,31.852101,330,64.491976,31.76435,111,49.665845,29.439193,219,14.826131
1300,320,36.713044,20.012472,51,27.227309,12.388346,269,38.511455,20.664941,-218,-11.284146
1068,419,35.512499,9.766601,101,32.386794,10.025779,318,36.505255,9.469352,-217,-4.118461
619,731,33.72903,16.974385,257,28.86701,13.982183,474,36.365189,17.848974,-217,-7.498179
833,821,38.305113,18.051297,518,41.385912,19.218224,303,33.038269,14.406004,215,8.347644
1109,667,37.384796,18.195921,227,34.513961,13.933974,440,38.865886,19.881962,-213,-4.351925
300,1188,42.808706,19.467843,488,40.660772,17.968717,700,44.306124,20.314119,-212,-3.645352
1014,422,33.482246,11.994234,106,29.37225,10.863764,316,34.860916,12.04004,-210,-5.488666
168,1185,39.774535,25.556109,490,34.515747,22.771974,695,43.48217,26.734516,-205,-8.966423
381,924,38.99591,24.015793,360,33.066264,18.6278,564,42.78079,26.203959,-204,-9.714526
432,986,48.648332,27.604256,392,48.586753,29.27002,594,48.68897,26.447482,-202,-0.102217
604,623,32.654279,18.811332,412,36.546148,20.792682,211,25.054989,10.645264,201,11.491158
500,697,40.331289,24.083437,448,45.397444,24.410637,249,31.21628,20.547558,199,14.181164
616,699,33.626376,23.159531,449,35.185915,25.681752,250,30.825445,17.404133,199,4.36047
272,666,41.777397,24.406222,236,41.071969,26.32425,430,42.164563,23.277402,-194,-1.092593
127,325,37.587558,21.144188,67,33.262815,14.857196,258,38.71065,22.354789,-191,-5.447835
2315,298,41.191178,11.015754,244,42.634739,11.233217,54,34.668424,6.893648,190,7.966315
743,474,42.498839,19.173717,330,42.533563,17.448038,144,42.419263,22.637354,186,0.1143
359,449,52.198253,47.258133,132,37.160879,26.251882,317,58.459872,52.373305,-185,-21.298994
553,1148,36.693361,21.05885,482,41.364818,26.331145,666,33.312517,15.343606,-184,8.052301
602,526,55.27575,25.439398,355,54.438348,22.820341,171,57.014215,30.084613,184,-2.575867
1510,262,35.046266,12.863791,39,25.43769,2.841695,223,36.72669,13.192214,-184,-11.289
1646,394,31.522043,10.773634,106,30.662458,11.207212,288,31.838419,10.592045,-182,-1.175961
517,946,43.099293,17.016991,562,41.728393,16.558153,384,45.105661,17.474226,178,-3.377268
1027,484,31.599883,10.784496,331,31.976327,10.342271,153,30.785483,11.642495,178,1.190844
775,349,33.076928,12.215325,261,33.986629,12.111708,88,30.378837,12.122547,173,3.607791
217,834,40.321845,17.1934,331,39.279213,15.530187,503,41.00795,18.172567,-172,-1.728737
212,419,42.328791,29.329733,295,45.891307,32.556461,124,33.853453,16.826754,171,12.037854
1151,339,30.148425,6.826171,253,30.884112,6.849864,86,27.984136,6.274313,167,2.899976
386,1304,45.372894,21.005488,569,46.144385,21.876101,735,44.775644,20.285747,-166,1.368741
370,491,42.236536,25.894929,163,33.621987,16.513836,328,46.517547,28.514008,-165,-12.895561
1114,352,37.064257,12.73946,95,33.378941,11.004424,257,38.426534,13.063151,-162,-5.047593
3730,189,45.229006,15.648612,14,27.008561,7.392544,175,46.686642,15.212295,-161,-19.678081
293,1270,62.272333,29.44523,714,61.527045,30.349312,556,63.229412,28.212958,158,-1.702367
261,424,36.944576,21.401513,133,34.440293,19.791952,291,38.089146,22.003454,-158,-3.648853
264,705,76.400519,60.632458,431,75.581557,56.582047,274,77.688739,66.485978,157,-2.107181
2033,2004,34.034312,11.67417,1079,34.325816,11.954389,925,33.694277,11.329079,154,0.631539
486,1232,36.341133,19.28286,690,36.029281,19.325754,542,36.738141,19.220795,148,-0.708861
1172,270,32.733183,11.450278,62,30.100341,10.184189,208,33.517972,11.687233,-146,-3.417631
680,262,35.183752,14.131453,58,29.829397,12.936838,204,36.706068,14.086273,-146,-6.876671
240,1205,90.523034,55.809127,532,90.480074,54.15317,673,90.556994,57.084137,-141,-0.07692
1900,265,31.969013,9.089516,62,28.258859,7.464389,203,33.102164,9.238373,-141,-4.843305
801,1326,23.95879,10.718626,732,25.060083,11.660968,594,22.601642,9.250067,138,2.458441
467,242,33.302742,16.553494,53,25.428964,14.748733,189,35.510732,16.358473,-136,-10.081769
5276,386,33.916665,6.123852,261,34.559279,6.314406,125,32.574887,5.467178,136,1.984391
568,685,34.868417,18.991554,410,37.767615,21.440339,275,30.545976,13.485197,135,7.221639
1502,355,29.717218,7.811251,110,27.935323,7.113671,245,30.517253,7.976496,-135,-2.58193
145,374,33.248758,20.322808,120,29.957917,19.012317,254,34.803486,20.732499,-134,-4.845569
939,642,30.649032,11.477914,387,32.657282,12.229761,255,27.601217,9.448872,132,5.056065
1582,182,34.841668,8.792008,25,30.629626,4.353441,157,35.512375,9.127729,-132,-4.882749
645,546,34.316948,18.236914,339,37.745713,19.847124,207,28.701724,13.467479,132,9.043989
676,214,36.450757,15.387848,41,26.368026,9.256529,173,38.840306,15.581822,-132,-12.47228
320,500,45.546234,22.320995,316,48.674261,21.03985,184,40.174187,23.408712,132,8.500074
3419,794,24.471885,5.498316,331,24.827694,5.513605,463,24.217516,5.473199,-132,0.610177
157,2045,119.989503,122.013957,957,118.189945,118.614845,1088,121.572387,124.905941,-131,-3.382442
198,1169,59.884212,45.37955,519,52.933084,36.258276,650,65.43442,50.837838,-131,-12.501336
67,1789,73.271049,46.905326,830,71.212084,46.540388,959,75.053052,47.146364,-129,-3.840968
457,417,54.850051,43.251603,273,63.377024,46.219162,144,38.684331,31.115329,129,24.692693
13880,2211,39.71561,10.815666,1170,39.933237,10.633346,1041,39.471014,11.011846,129,0.462223
60,333,36.340172,20.272275,102,29.17656,13.166201,231,39.503326,21.982299,-129,-10.326766
755,216,34.747425,19.310929,172,36.901354,20.59706,44,26.327524,9.123585,128,10.57383
142,507,35.706541,19.231192,317,37.094525,19.36527,190,33.390801,18.778389,127,3.703724
9,747,40.292144,21.434722,311,41.341652,22.727265,436,39.543526,20.430003,-125,1.798126
86,923,155.164889,120.377685,524,141.335405,119.224515,399,173.326917,119.468066,125,-31.991512
270,1801,178.70638,168.164491,838,178.548813,165.393312,963,178.843494,170.539206,-125,-0.294681
352,841,48.750982,29.447291,483,43.74072,24.252228,358,55.510637,34.116877,125,-11.769917
692,431,33.496766,15.277522,278,32.430014,14.234842,153,35.435048,16.837177,125,-3.005033
592,592,32.828496,16.053671,358,32.868705,16.168564,234,32.766979,15.87609,124,0.101726
915,813,36.543085,15.226078,345,31.201995,11.026317,468,40.480427,16.630632,-123,-9.278432
8001,283,40.520154,10.813157,80,36.748585,9.017991,203,42.006486,11.096802,-123,-5.257901
12339,181,42.62239,18.226223,29,27.605998,3.699476,152,45.48736,18.486044,-123,-17.881362
242,444,32.023401,18.092272,283,32.620188,18.133952,161,30.97439,17.970804,122,1.645799
449,978,62.678029,29.544917,428,62.158581,29.64138,550,63.082253,29.463298,-122,-0.923672
866,1214,47.159099,16.494105,546,44.496846,13.845151,668,49.335132,18.089131,-122,-4.838286
7908,124,62.788257,23.174363,1,29.316753,0.0,123,63.060383,23.070215,-122,-33.743629
1539,241,32.124618,12.16729,181,33.726477,12.778148,60,27.292345,8.425148,121,6.434132
96,217,79.535878,51.795626,169,91.20132,51.013635,48,38.463799,28.280877,121,52.737521
678,514,35.077254,15.255221,197,39.687155,17.467349,317,32.212426,12.896637,-120,7.47473
1046,234,27.398331,10.252403,57,26.462677,10.505441,177,27.699643,10.151235,-120,-1.236966
232,1703,47.296775,18.055338,792,46.309452,15.757422,911,48.155128,19.79799,-119,-1.845676
434,199,31.101305,17.517741,159,31.766971,17.145362,40,28.45528,18.692701,119,3.311691
1214,637,35.2132,10.367133,377,36.059545,11.356454,260,33.986001,8.588945,117,2.073544
1287,222,34.40276,12.280273,169,35.948498,13.141107,53,29.473895,7.008066,116,6.474603
1020,364,35.816283,9.896143,124,35.583899,9.74248,240,35.936349,9.972487,-116,-0.35245
344,1005,39.081059,19.383481,445,40.683033,20.198368,560,37.808063,18.612589,-115,2.87497
